SUPPLIER_ID,SUPPLIER_CODE,PARTY_ID,SUPPLIER_STATUS,SUPPLIER_TYPE,SUPPLIER_CLASS,APPROVAL_DATE,PRIMARY_CONTACT_PERSON_ID,PAYMENT_TERMS,CURRENCY_ID,TAX_IDENTIFICATION_NUMBER,DUNS_NUMBER,CERTIFICATION_STATUS,VALID_FROM_TIMESTAMP,VALID_TO_TIMESTAMP,IS_CURRENT_FLAG,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
114,SUP-00114,114,ACTIVE,APPROVED,B,2022-03-31,,2/10NET30,2,TAX000000114,860000114,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
115,SUP-00115,115,ACTIVE,STRATEGIC,B,2021-04-05,,NET30,2,TAX000000115,860000115,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
116,SUP-00116,116,ACTIVE,STANDARD,A,2021-01-30,,2/10NET30,3,TAX000000116,860000116,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
117,SUP-00117,117,ACTIVE,APPROVED,A,2022-07-28,,NET45,1,TAX000000117,860000117,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
118,SUP-00118,118,ACTIVE,APPROVED,A,2022-03-05,,NET45,5,TAX000000118,860000118,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
119,SUP-00119,119,ACTIVE,STANDARD,A,2021-10-09,,NET30,5,TAX000000119,860000119,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
120,SUP-00120,120,ACTIVE,APPROVED,A,2021-06-20,,2/10NET30,2,TAX000000120,860000120,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
121,SUP-00121,121,ACTIVE,STRATEGIC,C,2022-02-04,,2/10NET30,3,TAX000000121,860000121,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
122,SUP-00122,122,ACTIVE,APPROVED,A,2022-04-13,,NET30,3,TAX000000122,860000122,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
123,SUP-00123,123,ACTIVE,STRATEGIC,B,2022-06-26,,NET45,1,TAX000000123,860000123,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
124,SUP-00124,124,ACTIVE,STRATEGIC,C,2022-06-01,,NET45,3,TAX000000124,860000124,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
125,SUP-00125,125,ACTIVE,STANDARD,B,2021-12-09,,NET60,2,TAX000000125,860000125,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
126,SUP-00126,126,ACTIVE,PREFERRED,C,2020-03-22,,NET60,3,TAX000000126,860000126,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
127,SUP-00127,127,ACTIVE,PREFERRED,C,2020-02-13,,2/10NET30,3,TAX000000127,860000127,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
128,SUP-00128,128,ACTIVE,STANDARD,B,2022-05-19,,NET45,1,TAX000000128,860000128,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
129,SUP-00129,129,ACTIVE,STRATEGIC,C,2021-01-15,,NET45,5,TAX000000129,860000129,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
130,SUP-00130,130,ACTIVE,APPROVED,A,2021-05-26,,NET30,1,TAX000000130,860000130,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
131,SUP-00131,131,ACTIVE,PREFERRED,C,2020-05-05,,NET60,5,TAX000000131,860000131,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
132,SUP-00132,132,ACTIVE,APPROVED,C,2022-07-01,,NET60,1,TAX000000132,860000132,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
133,SUP-00133,133,ACTIVE,PREFERRED,B,2021-04-23,,NET30,3,TAX000000133,860000133,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
134,SUP-00134,134,ACTIVE,STANDARD,B,2021-10-19,,NET30,2,TAX000000134,860000134,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
135,SUP-00135,135,ACTIVE,PREFERRED,A,2021-06-14,,2/10NET30,1,TAX000000135,860000135,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
136,SUP-00136,136,ACTIVE,APPROVED,A,2020-05-08,,NET60,2,TAX000000136,860000136,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
137,SUP-00137,137,ACTIVE,PREFERRED,C,2020-03-24,,NET60,1,TAX000000137,860000137,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
138,SUP-00138,138,ACTIVE,APPROVED,C,2022-04-04,,NET60,5,TAX000000138,860000138,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
139,SUP-00139,139,ACTIVE,STANDARD,B,2020-11-16,,NET45,3,TAX000000139,860000139,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
140,SUP-00140,140,ACTIVE,STRATEGIC,B,2020-09-30,,NET45,5,TAX000000140,860000140,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
141,SUP-00141,141,ACTIVE,STANDARD,A,2020-07-13,,NET45,3,TAX000000141,860000141,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
142,SUP-00142,142,ACTIVE,STRATEGIC,B,2021-08-20,,2/10NET30,2,TAX000000142,860000142,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
143,SUP-00143,143,ACTIVE,STANDARD,B,2020-05-17,,NET30,1,TAX000000143,860000143,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
144,SUP-00144,144,ACTIVE,PREFERRED,B,2021-05-31,,NET60,1,TAX000000144,860000144,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
145,SUP-00145,145,ACTIVE,APPROVED,C,2021-09-08,,NET60,2,TAX000000145,860000145,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
146,SUP-00146,146,ACTIVE,STANDARD,C,2020-12-01,,2/10NET30,2,TAX000000146,860000146,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
147,SUP-00147,147,ACTIVE,STANDARD,C,2021-01-12,,NET60,5,TAX000000147,860000147,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
148,SUP-00148,148,ACTIVE,APPROVED,C,2020-06-23,,NET45,1,TAX000000148,860000148,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
149,SUP-00149,149,ACTIVE,PREFERRED,A,2020-06-04,,2/10NET30,3,TAX000000149,860000149,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
150,SUP-00150,150,ACTIVE,PREFERRED,C,2020-11-17,,NET60,5,TAX000000150,860000150,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
151,SUP-00151,151,ACTIVE,PREFERRED,A,2022-08-22,,NET60,3,TAX000000151,860000151,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
152,SUP-00152,152,ACTIVE,APPROVED,B,2022-04-18,,NET30,5,TAX000000152,860000152,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
153,SUP-00153,153,ACTIVE,APPROVED,C,2022-04-27,,2/10NET30,2,TAX000000153,860000153,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
154,SUP-00154,154,ACTIVE,PREFERRED,A,2020-02-23,,NET30,2,TAX000000154,860000154,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
155,SUP-00155,155,ACTIVE,PREFERRED,B,2022-02-13,,2/10NET30,5,TAX000000155,860000155,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
156,SUP-00156,156,ACTIVE,STRATEGIC,A,2022-05-06,,2/10NET30,2,TAX000000156,860000156,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
157,SUP-00157,157,ACTIVE,STRATEGIC,B,2022-06-29,,NET60,5,TAX000000157,860000157,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
158,SUP-00158,158,ACTIVE,STANDARD,C,2022-01-24,,NET60,2,TAX000000158,860000158,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
159,SUP-00159,159,ACTIVE,STRATEGIC,B,2021-05-03,,NET30,2,TAX000000159,860000159,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
160,SUP-00160,160,ACTIVE,APPROVED,B,2021-12-10,,NET30,3,TAX000000160,860000160,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
161,SUP-00161,161,ACTIVE,APPROVED,C,2021-09-21,,NET30,3,TAX000000161,860000161,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
162,SUP-00162,162,ACTIVE,APPROVED,B,2021-11-27,,2/10NET30,2,TAX000000162,860000162,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
163,SUP-00163,163,ACTIVE,STRATEGIC,C,2020-12-01,,NET45,2,TAX000000163,860000163,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
164,SUP-00164,164,ACTIVE,STRATEGIC,B,2021-07-31,,NET45,5,TAX000000164,860000164,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
165,SUP-00165,165,ACTIVE,PREFERRED,C,2020-12-18,,NET30,1,TAX000000165,860000165,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
166,SUP-00166,166,ACTIVE,PREFERRED,A,2021-04-04,,2/10NET30,3,TAX000000166,860000166,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
167,SUP-00167,167,ACTIVE,STANDARD,C,2022-02-13,,NET45,2,TAX000000167,860000167,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
168,SUP-00168,168,ACTIVE,PREFERRED,B,2020-07-12,,NET60,2,TAX000000168,860000168,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
169,SUP-00169,169,ACTIVE,STRATEGIC,B,2021-02-15,,NET30,2,TAX000000169,860000169,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
170,SUP-00170,170,ACTIVE,PREFERRED,C,2020-11-05,,NET60,3,TAX000000170,860000170,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
171,SUP-00171,171,ACTIVE,PREFERRED,C,2022-09-22,,2/10NET30,5,TAX000000171,860000171,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
172,SUP-00172,172,ACTIVE,APPROVED,B,2022-05-19,,NET45,5,TAX000000172,860000172,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
173,SUP-00173,173,ACTIVE,PREFERRED,B,2020-12-04,,NET45,3,TAX000000173,860000173,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
174,SUP-00174,174,ACTIVE,STRATEGIC,A,2020-08-01,,NET45,2,TAX000000174,860000174,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
175,SUP-00175,175,ACTIVE,PREFERRED,C,2021-07-19,,NET45,5,TAX000000175,860000175,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
176,SUP-00176,176,ACTIVE,STANDARD,B,2022-07-25,,NET30,5,TAX000000176,860000176,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
177,SUP-00177,177,ACTIVE,PREFERRED,A,2020-06-05,,NET60,5,TAX000000177,860000177,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
178,SUP-00178,178,ACTIVE,APPROVED,B,2020-06-21,,2/10NET30,5,TAX000000178,860000178,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
179,SUP-00179,179,ACTIVE,STRATEGIC,C,2022-02-21,,NET30,1,TAX000000179,860000179,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
180,SUP-00180,180,ACTIVE,STANDARD,B,2020-01-17,,NET30,5,TAX000000180,860000180,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
181,SUP-00181,181,ACTIVE,APPROVED,A,2022-07-29,,2/10NET30,2,TAX000000181,860000181,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
182,SUP-00182,182,ACTIVE,APPROVED,B,2021-04-15,,NET30,3,TAX000000182,860000182,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
183,SUP-00183,183,ACTIVE,STANDARD,B,2021-12-20,,2/10NET30,1,TAX000000183,860000183,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
184,SUP-00184,184,ACTIVE,STRATEGIC,A,2020-02-17,,NET45,5,TAX000000184,860000184,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
185,SUP-00185,185,ACTIVE,STRATEGIC,A,2020-11-02,,NET45,5,TAX000000185,860000185,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
186,SUP-00186,186,ACTIVE,STRATEGIC,C,2021-03-23,,NET60,1,TAX000000186,860000186,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
187,SUP-00187,187,ACTIVE,STANDARD,B,2021-03-18,,NET45,3,TAX000000187,860000187,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
188,SUP-00188,188,ACTIVE,STRATEGIC,B,2022-01-27,,NET45,5,TAX000000188,860000188,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
189,SUP-00189,189,ACTIVE,APPROVED,B,2020-07-10,,NET30,2,TAX000000189,860000189,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
190,SUP-00190,190,ACTIVE,APPROVED,C,2020-01-13,,NET30,3,TAX000000190,860000190,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
191,SUP-00191,191,ACTIVE,STANDARD,A,2020-10-01,,NET45,3,TAX000000191,860000191,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
192,SUP-00192,192,ACTIVE,STANDARD,A,2022-01-08,,NET60,3,TAX000000192,860000192,"ISO9001,ISO14001",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
193,SUP-00193,193,ACTIVE,STANDARD,B,2020-12-08,,2/10NET30,3,TAX000000193,860000193,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
194,SUP-00194,194,ACTIVE,STANDARD,B,2020-10-25,,NET45,5,TAX000000194,860000194,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
195,SUP-00195,195,ACTIVE,APPROVED,A,2022-09-02,,NET45,2,TAX000000195,860000195,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
196,SUP-00196,196,ACTIVE,STANDARD,A,2021-11-05,,NET60,2,TAX000000196,860000196,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
197,SUP-00197,197,ACTIVE,STANDARD,C,2021-12-19,,2/10NET30,1,TAX000000197,860000197,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
198,SUP-00198,198,ACTIVE,STRATEGIC,C,2020-04-18,,2/10NET30,3,TAX000000198,860000198,PENDING,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
199,SUP-00199,199,ACTIVE,STANDARD,C,2021-05-09,,NET45,3,TAX000000199,860000199,ISO9001,2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
200,SUP-00200,200,ACTIVE,APPROVED,B,2021-05-02,,NET45,5,TAX000000200,860000200,"ISO9001,ISO13485",2020-01-01 00:00:00,,True,SYSTEM,2020-01-01 00:00:00,SYSTEM,2020-01-01 00:00:00
