DOCUMENT_ID,SUPPLIER_ID,DOCUMENT_TYPE,DOCUMENT_TITLE,DOCUMENT_CONTENT,DOCUMENT_SUMMARY,EFFECTIVE_DATE,EXPIRATION_DATE,DOCUMENT_STATUS,FILE_PATH,FILE_SIZE_BYTES,CREATED_BY_USER,CREATED_TIMESTAMP,UPDATED_BY_USER,UPDATED_TIMESTAMP
88,43,AUDIT,Quality Audit Report - Advanced Pneumatic S.A.,"SUPPLIER QUALITY AUDIT REPORT

Supplier: Advanced Pneumatic S.A.
Audit Date: 2023-06-29
Audit Type: For-Cause
Auditor: Auditor-27

EXECUTIVE SUMMARY:
Overall Rating: D
Previous Rating: C

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Expired
   - Document Control: Needs Improvement
   - Corrective Action Process: Good

2. Manufacturing Process
   - Process Capability: Cpk: 1.20
   - Equipment Calibration: Current
   - Statistical Process Control: Full

3. Supply Chain
   - Sub-supplier Management: Good
   - Traceability: Limited
   - Inventory Management: Good

4. Environmental & Safety
   - Environmental Compliance: Minor Issues
   - Safety Record: 2 incidents in past year
   - Waste Management: Excellent

CORRECTIVE ACTIONS REQUIRED:
- Item 1: None required

NEXT AUDIT SCHEDULED: 2024-06-28","Quality audit findings for Advanced Pneumatic S.A. covering QMS, manufacturing, and compliance.",2023-06-29,2025-11-28,ACTIVE,/documents/audit/43/88.pdf,244448,SYSTEM,2023-06-29 00:00:00,SYSTEM,2023-06-29 00:00:00
89,43,REGULATORY,Regulatory Compliance Certificate - Advanced Pneumatic S.A.,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-162970
Issued To: Advanced Pneumatic S.A.
Effective Date: 2023-04-06
Expiration Date: 2024-04-24

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: N/A
- FDA Registration Number: FDA-8538071
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: Pending
- RoHS Compliance: Compliant
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-08-05
Inspection Result: NAI
Form 483 Observations: 2

WARNING LETTERS:
No warning letters on file

This certificate confirms that Advanced Pneumatic S.A. maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Advanced Pneumatic S.A. including FDA, ISO, and GMP certifications.",2023-04-06,2024-04-24,ACTIVE,/documents/regulatory/43/89.pdf,223252,SYSTEM,2023-04-06 00:00:00,SYSTEM,2023-04-06 00:00:00
90,43,REGULATORY,Regulatory Compliance Certificate - Advanced Pneumatic S.A.,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-347307
Issued To: Advanced Pneumatic S.A.
Effective Date: 2023-01-12
Expiration Date: 2025-02-02

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: N/A
- FDA Registration Number: FDA-2739020
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: Exempt
- Conflict Minerals: N/A

RECENT INSPECTIONS:
Last FDA Inspection: 2022-02-25
Inspection Result: No Observations
Form 483 Observations: 0

WARNING LETTERS:
Warning letter dated 2022-07-16 regarding contamination controls

This certificate confirms that Advanced Pneumatic S.A. maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Advanced Pneumatic S.A. including FDA, ISO, and GMP certifications.",2023-01-12,2025-02-02,ACTIVE,/documents/regulatory/43/90.pdf,93421,SYSTEM,2023-01-12 00:00:00,SYSTEM,2023-01-12 00:00:00
91,44,REGULATORY,Regulatory Compliance Certificate - Global Ceramic Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-589934
Issued To: Global Ceramic Partners
Effective Date: 2023-03-23
Expiration Date: 2025-09-02

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-1774388
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: Compliant
- RoHS Compliance: N/A
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-11-12
Inspection Result: VAI
Form 483 Observations: 5

WARNING LETTERS:
No warning letters on file

This certificate confirms that Global Ceramic Partners maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Global Ceramic Partners including FDA, ISO, and GMP certifications.",2023-03-23,2025-09-02,ACTIVE,/documents/regulatory/44/91.pdf,83372,SYSTEM,2023-03-23 00:00:00,SYSTEM,2023-03-23 00:00:00
92,44,REGULATORY,Regulatory Compliance Certificate - Global Ceramic Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-124430
Issued To: Global Ceramic Partners
Effective Date: 2023-09-11
Expiration Date: 2025-01-11

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: N/A
- FDA Registration Number: N/A
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Pending
- RoHS Compliance: N/A
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-09-12
Inspection Result: No Observations
Form 483 Observations: 3

WARNING LETTERS:
No warning letters on file

This certificate confirms that Global Ceramic Partners maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Global Ceramic Partners including FDA, ISO, and GMP certifications.",2023-09-11,2025-01-11,ACTIVE,/documents/regulatory/44/92.pdf,192009,SYSTEM,2023-09-11 00:00:00,SYSTEM,2023-09-11 00:00:00
93,44,COMPLIANCE,Regulatory Compliance Certificate - Global Ceramic Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-635366
Issued To: Global Ceramic Partners
Effective Date: 2023-04-30
Expiration Date: 2025-03-29

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-3057166
- CE Marking: N/A

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: Compliant
- RoHS Compliance: Exempt
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-05-12
Inspection Result: NAI
Form 483 Observations: 3

WARNING LETTERS:
No warning letters on file

This certificate confirms that Global Ceramic Partners maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Global Ceramic Partners including FDA, ISO, and GMP certifications.",2023-04-30,2025-03-29,ACTIVE,/documents/compliance/44/93.pdf,140288,SYSTEM,2023-04-30 00:00:00,SYSTEM,2023-04-30 00:00:00
94,45,CONTRACT,Master Supply Agreement - Atlantic Hydraulic Solutions,"MASTER SUPPLY AGREEMENT

This Agreement is entered into between Snowcore Industries (""Buyer"") and Atlantic Hydraulic Solutions (""Supplier"").

1. TERM: This agreement shall be effective for a period of 1 years from 2023-10-27.

2. PRICING: 
   - Base unit price: $7710.62 per unit
   - Annual price adjustment: Maximum 8% based on commodity index
   - Volume discounts: 4% for orders exceeding 8381 units

3. PAYMENT TERMS: Net 45 days from invoice date

4. DELIVERY: 
   - Lead time: 56 days from PO receipt
   - Delivery terms: CIF
   - On-time delivery target: 95%

5. QUALITY:
   - Acceptance rate target: 99%
   - Inspection requirements: Both
   - Warranty period: 27 months

6. INDEMNIFICATION:
   Supplier shall indemnify Buyer against all claims arising from:
   - Product defects
   - Intellectual property infringement
   - Regulatory non-compliance
   - Environmental violations

7. FORCE MAJEURE:
   Neither party shall be liable for delays caused by events beyond reasonable control,
   including but not limited to: natural disasters, war, pandemic, government actions.

8. TERMINATION:
   Either party may terminate with 80 days written notice.
   Immediate termination permitted for material breach.

Signed: _______________ Date: _______________","Supply agreement with Atlantic Hydraulic Solutions covering pricing, delivery, quality, and indemnification terms.",2023-10-27,2025-09-23,ACTIVE,/documents/contract/45/94.pdf,314567,SYSTEM,2023-10-27 00:00:00,SYSTEM,2023-10-27 00:00:00
95,45,REGULATORY,Regulatory Compliance Certificate - Atlantic Hydraulic Solutions,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-402087
Issued To: Atlantic Hydraulic Solutions
Effective Date: 2023-12-08
Expiration Date: 2025-05-15

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-4416410
- CE Marking: N/A

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: N/A
- RoHS Compliance: Compliant
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2023-08-21
Inspection Result: OAI
Form 483 Observations: 4

WARNING LETTERS:
No warning letters on file

This certificate confirms that Atlantic Hydraulic Solutions maintains compliance with 
applicable regulatory requirements for the supply of precision components.","Regulatory compliance status for Atlantic Hydraulic Solutions including FDA, ISO, and GMP certifications.",2023-12-08,2025-05-15,ACTIVE,/documents/regulatory/45/95.pdf,195726,SYSTEM,2023-12-08 00:00:00,SYSTEM,2023-12-08 00:00:00
96,46,AUDIT,Quality Audit Report - United Alloys Industries,"SUPPLIER QUALITY AUDIT REPORT

Supplier: United Alloys Industries
Audit Date: 2023-12-30
Audit Type: Surveillance
Auditor: Auditor-33

EXECUTIVE SUMMARY:
Overall Rating: A
Previous Rating: D

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Expired
   - Document Control: Needs Improvement
   - Corrective Action Process: Needs Improvement

2. Manufacturing Process
   - Process Capability: Cpk: 1.12
   - Equipment Calibration: Current
   - Statistical Process Control: Partial

3. Supply Chain
   - Sub-supplier Management: Excellent
   - Traceability: Limited
   - Inventory Management: Excellent

4. Environmental & Safety
   - Environmental Compliance: Compliant
   - Safety Record: 0 incidents in past year
   - Waste Management: Needs Improvement

CORRECTIVE ACTIONS REQUIRED:
- Item 1: Close CAR-001

NEXT AUDIT SCHEDULED: 2024-12-29","Quality audit findings for United Alloys Industries covering QMS, manufacturing, and compliance.",2023-12-30,2025-01-17,ACTIVE,/documents/audit/46/96.pdf,289248,SYSTEM,2023-12-30 00:00:00,SYSTEM,2023-12-30 00:00:00
97,46,REGULATORY,Regulatory Compliance Certificate - United Alloys Industries,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-406658
Issued To: United Alloys Industries
Effective Date: 2023-04-17
Expiration Date: 2024-07-07

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-4711480
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: Compliant
- Conflict Minerals: N/A

RECENT INSPECTIONS:
Last FDA Inspection: 2022-05-29
Inspection Result: NAI
Form 483 Observations: 3

WARNING LETTERS:
No warning letters on file

This certificate confirms that United Alloys Industries maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for United Alloys Industries including FDA, ISO, and GMP certifications.",2023-04-17,2024-07-07,ACTIVE,/documents/regulatory/46/97.pdf,277919,SYSTEM,2023-04-17 00:00:00,SYSTEM,2023-04-17 00:00:00
98,46,COMPLIANCE,Regulatory Compliance Certificate - United Alloys Industries,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-317468
Issued To: United Alloys Industries
Effective Date: 2023-05-24
Expiration Date: 2025-07-04

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-6171656
- CE Marking: N/A

COMPLIANCE STATUS:
- GMP Compliance: Conditional
- REACH Compliance: N/A
- RoHS Compliance: Exempt
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2023-03-15
Inspection Result: NAI
Form 483 Observations: 4

WARNING LETTERS:
No warning letters on file

This certificate confirms that United Alloys Industries maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for United Alloys Industries including FDA, ISO, and GMP certifications.",2023-05-24,2025-07-04,ACTIVE,/documents/compliance/46/98.pdf,155795,SYSTEM,2023-05-24 00:00:00,SYSTEM,2023-05-24 00:00:00
99,47,CONTRACT,Master Supply Agreement - Pacific Polymer Manufacturing,"MASTER SUPPLY AGREEMENT

This Agreement is entered into between Snowcore Industries (""Buyer"") and Pacific Polymer Manufacturing (""Supplier"").

1. TERM: This agreement shall be effective for a period of 4 years from 2023-01-04.

2. PRICING: 
   - Base unit price: $3091.13 per unit
   - Annual price adjustment: Maximum 7% based on commodity index
   - Volume discounts: 4% for orders exceeding 1343 units

3. PAYMENT TERMS: Net 45 days from invoice date

4. DELIVERY: 
   - Lead time: 56 days from PO receipt
   - Delivery terms: CIF
   - On-time delivery target: 93%

5. QUALITY:
   - Acceptance rate target: 95%
   - Inspection requirements: Source
   - Warranty period: 15 months

6. INDEMNIFICATION:
   Supplier shall indemnify Buyer against all claims arising from:
   - Product defects
   - Intellectual property infringement
   - Regulatory non-compliance
   - Environmental violations

7. FORCE MAJEURE:
   Neither party shall be liable for delays caused by events beyond reasonable control,
   including but not limited to: natural disasters, war, pandemic, government actions.

8. TERMINATION:
   Either party may terminate with 32 days written notice.
   Immediate termination permitted for material breach.

Signed: _______________ Date: _______________","Supply agreement with Pacific Polymer Manufacturing covering pricing, delivery, quality, and indemnification terms.",2023-01-04,2024-02-23,ACTIVE,/documents/contract/47/99.pdf,359960,SYSTEM,2023-01-04 00:00:00,SYSTEM,2023-01-04 00:00:00
100,48,AUDIT,Quality Audit Report - Strategic Composite AG,"SUPPLIER QUALITY AUDIT REPORT

Supplier: Strategic Composite AG
Audit Date: 2023-12-12
Audit Type: Annual
Auditor: Auditor-46

EXECUTIVE SUMMARY:
Overall Rating: C
Previous Rating: A

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Certified
   - Document Control: Needs Improvement
   - Corrective Action Process: Needs Improvement

2. Manufacturing Process
   - Process Capability: Cpk: 1.03
   - Equipment Calibration: Past Due
   - Statistical Process Control: Partial

3. Supply Chain
   - Sub-supplier Management: Good
   - Traceability: Full
   - Inventory Management: Good

4. Environmental & Safety
   - Environmental Compliance: Compliant
   - Safety Record: 4 incidents in past year
   - Waste Management: Needs Improvement

CORRECTIVE ACTIONS REQUIRED:
- Item 1: Close CAR-001

NEXT AUDIT SCHEDULED: 2024-12-11","Quality audit findings for Strategic Composite AG covering QMS, manufacturing, and compliance.",2023-12-12,2026-10-25,ACTIVE,/documents/audit/48/100.pdf,335445,SYSTEM,2023-12-12 00:00:00,SYSTEM,2023-12-12 00:00:00
101,48,CONTRACT,Master Supply Agreement - Strategic Composite AG,"MASTER SUPPLY AGREEMENT

This Agreement is entered into between Snowcore Industries (""Buyer"") and Strategic Composite AG (""Supplier"").

1. TERM: This agreement shall be effective for a period of 3 years from 2023-02-19.

2. PRICING: 
   - Base unit price: $9598.51 per unit
   - Annual price adjustment: Maximum 8% based on commodity index
   - Volume discounts: 7% for orders exceeding 2165 units

3. PAYMENT TERMS: Net 45 days from invoice date

4. DELIVERY: 
   - Lead time: 43 days from PO receipt
   - Delivery terms: CIF
   - On-time delivery target: 98%

5. QUALITY:
   - Acceptance rate target: 99%
   - Inspection requirements: Source
   - Warranty period: 25 months

6. INDEMNIFICATION:
   Supplier shall indemnify Buyer against all claims arising from:
   - Product defects
   - Intellectual property infringement
   - Regulatory non-compliance
   - Environmental violations

7. FORCE MAJEURE:
   Neither party shall be liable for delays caused by events beyond reasonable control,
   including but not limited to: natural disasters, war, pandemic, government actions.

8. TERMINATION:
   Either party may terminate with 40 days written notice.
   Immediate termination permitted for material breach.

Signed: _______________ Date: _______________","Supply agreement with Strategic Composite AG covering pricing, delivery, quality, and indemnification terms.",2023-02-19,2024-07-18,ACTIVE,/documents/contract/48/101.pdf,85915,SYSTEM,2023-02-19 00:00:00,SYSTEM,2023-02-19 00:00:00
102,49,REGULATORY,Regulatory Compliance Certificate - Superior Pneumatic GmbH,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-469567
Issued To: Superior Pneumatic GmbH
Effective Date: 2023-04-04
Expiration Date: 2025-02-24

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: N/A
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: Compliant
- RoHS Compliance: N/A
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-04-15
Inspection Result: NAI
Form 483 Observations: 5

WARNING LETTERS:
No warning letters on file

This certificate confirms that Superior Pneumatic GmbH maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Superior Pneumatic GmbH including FDA, ISO, and GMP certifications.",2023-04-04,2025-02-24,ACTIVE,/documents/regulatory/49/102.pdf,127926,SYSTEM,2023-04-04 00:00:00,SYSTEM,2023-04-04 00:00:00
103,49,COMPLIANCE,Regulatory Compliance Certificate - Superior Pneumatic GmbH,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-548141
Issued To: Superior Pneumatic GmbH
Effective Date: 2023-11-07
Expiration Date: 2026-06-27

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-7295472
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: N/A
- Conflict Minerals: N/A

RECENT INSPECTIONS:
Last FDA Inspection: 2023-02-20
Inspection Result: OAI
Form 483 Observations: 4

WARNING LETTERS:
No warning letters on file

This certificate confirms that Superior Pneumatic GmbH maintains compliance with 
applicable regulatory requirements for the supply of precision components.","Regulatory compliance status for Superior Pneumatic GmbH including FDA, ISO, and GMP certifications.",2023-11-07,2026-06-27,ACTIVE,/documents/compliance/49/103.pdf,199492,SYSTEM,2023-11-07 00:00:00,SYSTEM,2023-11-07 00:00:00
104,49,CONTRACT,Master Supply Agreement - Superior Pneumatic GmbH,"MASTER SUPPLY AGREEMENT

This Agreement is entered into between Snowcore Industries (""Buyer"") and Superior Pneumatic GmbH (""Supplier"").

1. TERM: This agreement shall be effective for a period of 2 years from 2023-03-27.

2. PRICING: 
   - Base unit price: $2077.03 per unit
   - Annual price adjustment: Maximum 2% based on commodity index
   - Volume discounts: 8% for orders exceeding 8832 units

3. PAYMENT TERMS: Net 30 days from invoice date

4. DELIVERY: 
   - Lead time: 60 days from PO receipt
   - Delivery terms: DDP
   - On-time delivery target: 90%

5. QUALITY:
   - Acceptance rate target: 95%
   - Inspection requirements: Both
   - Warranty period: 17 months

6. INDEMNIFICATION:
   Supplier shall indemnify Buyer against all claims arising from:
   - Product defects
   - Intellectual property infringement
   - Regulatory non-compliance
   - Environmental violations

7. FORCE MAJEURE:
   Neither party shall be liable for delays caused by events beyond reasonable control,
   including but not limited to: natural disasters, war, pandemic, government actions.

8. TERMINATION:
   Either party may terminate with 90 days written notice.
   Immediate termination permitted for material breach.

Signed: _______________ Date: _______________","Supply agreement with Superior Pneumatic GmbH covering pricing, delivery, quality, and indemnification terms.",2023-03-27,2025-08-16,ACTIVE,/documents/contract/49/104.pdf,457852,SYSTEM,2023-03-27 00:00:00,SYSTEM,2023-03-27 00:00:00
105,50,REGULATORY,Regulatory Compliance Certificate - Allied Thermal Co.,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-270626
Issued To: Allied Thermal Co.
Effective Date: 2023-10-04
Expiration Date: 2024-11-17

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-4268315
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: Compliant
- RoHS Compliance: Exempt
- Conflict Minerals: N/A

RECENT INSPECTIONS:
Last FDA Inspection: 2023-07-20
Inspection Result: OAI
Form 483 Observations: 4

WARNING LETTERS:
No warning letters on file

This certificate confirms that Allied Thermal Co. maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Allied Thermal Co. including FDA, ISO, and GMP certifications.",2023-10-04,2024-11-17,ACTIVE,/documents/regulatory/50/105.pdf,286637,SYSTEM,2023-10-04 00:00:00,SYSTEM,2023-10-04 00:00:00
106,50,REGULATORY,Regulatory Compliance Certificate - Allied Thermal Co.,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-149379
Issued To: Allied Thermal Co.
Effective Date: 2023-11-27
Expiration Date: 2025-12-09

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: N/A
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-6651311
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Non-Compliant
- REACH Compliance: Compliant
- RoHS Compliance: Exempt
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2023-09-26
Inspection Result: OAI
Form 483 Observations: 5

WARNING LETTERS:
No warning letters on file

This certificate confirms that Allied Thermal Co. maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Allied Thermal Co. including FDA, ISO, and GMP certifications.",2023-11-27,2025-12-09,ACTIVE,/documents/regulatory/50/106.pdf,435499,SYSTEM,2023-11-27 00:00:00,SYSTEM,2023-11-27 00:00:00
107,51,COMPLIANCE,Regulatory Compliance Certificate - Alpine Chemical Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-926914
Issued To: Alpine Chemical Partners
Effective Date: 2023-02-13
Expiration Date: 2024-11-06

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: Certified
- FDA Registration Number: FDA-1622897
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: Pending
- RoHS Compliance: Exempt
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-03-16
Inspection Result: No Observations
Form 483 Observations: 4

WARNING LETTERS:
No warning letters on file

This certificate confirms that Alpine Chemical Partners maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Alpine Chemical Partners including FDA, ISO, and GMP certifications.",2023-02-13,2024-11-06,ACTIVE,/documents/compliance/51/107.pdf,250751,SYSTEM,2023-02-13 00:00:00,SYSTEM,2023-02-13 00:00:00
108,51,COMPLIANCE,Regulatory Compliance Certificate - Alpine Chemical Partners,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-673465
Issued To: Alpine Chemical Partners
Effective Date: 2023-06-21
Expiration Date: 2025-02-01

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Pending
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-1326039
- CE Marking: Certified

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: Compliant
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2022-12-14
Inspection Result: VAI
Form 483 Observations: 1

WARNING LETTERS:
No warning letters on file

This certificate confirms that Alpine Chemical Partners maintains compliance with 
applicable regulatory requirements for the supply of medical devices.","Regulatory compliance status for Alpine Chemical Partners including FDA, ISO, and GMP certifications.",2023-06-21,2025-02-01,ACTIVE,/documents/compliance/51/108.pdf,123762,SYSTEM,2023-06-21 00:00:00,SYSTEM,2023-06-21 00:00:00
109,51,AUDIT,Quality Audit Report - Alpine Chemical Partners,"SUPPLIER QUALITY AUDIT REPORT

Supplier: Alpine Chemical Partners
Audit Date: 2023-04-21
Audit Type: Surveillance
Auditor: Auditor-18

EXECUTIVE SUMMARY:
Overall Rating: D
Previous Rating: D

FINDINGS:

1. Quality Management System
   - ISO 9001 Certification: Expired
   - Document Control: Excellent
   - Corrective Action Process: Needs Improvement

2. Manufacturing Process
   - Process Capability: Cpk: 1.14
   - Equipment Calibration: Current
   - Statistical Process Control: Partial

3. Supply Chain
   - Sub-supplier Management: Good
   - Traceability: Full
   - Inventory Management: Good

4. Environmental & Safety
   - Environmental Compliance: Non-Compliant
   - Safety Record: 2 incidents in past year
   - Waste Management: Adequate

CORRECTIVE ACTIONS REQUIRED:
- Item 1: None required

NEXT AUDIT SCHEDULED: 2024-04-20","Quality audit findings for Alpine Chemical Partners covering QMS, manufacturing, and compliance.",2023-04-21,2025-08-26,ACTIVE,/documents/audit/51/109.pdf,305698,SYSTEM,2023-04-21 00:00:00,SYSTEM,2023-04-21 00:00:00
110,52,REGULATORY,Regulatory Compliance Certificate - Superior Precision Co.,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-879757
Issued To: Superior Precision Co.
Effective Date: 2023-02-03
Expiration Date: 2024-11-24

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: N/A
- ISO 14001:2015 Environmental Management: Pending
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-7873850
- CE Marking: N/A

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: Pending
- RoHS Compliance: Compliant
- Conflict Minerals: In Progress

RECENT INSPECTIONS:
Last FDA Inspection: 2022-07-28
Inspection Result: VAI
Form 483 Observations: 0

WARNING LETTERS:
No warning letters on file

This certificate confirms that Superior Precision Co. maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Superior Precision Co. including FDA, ISO, and GMP certifications.",2023-02-03,2024-11-24,ACTIVE,/documents/regulatory/52/110.pdf,459752,SYSTEM,2023-02-03 00:00:00,SYSTEM,2023-02-03 00:00:00
111,53,COMPLIANCE,Regulatory Compliance Certificate - Dynamic Alloys Engineering,"REGULATORY COMPLIANCE CERTIFICATE

Certificate Number: CERT-275806
Issued To: Dynamic Alloys Engineering
Effective Date: 2023-10-11
Expiration Date: 2025-01-30

CERTIFICATIONS HELD:
- ISO 9001:2015 Quality Management: Certified
- ISO 14001:2015 Environmental Management: Certified
- ISO 13485:2016 Medical Devices: Pending
- FDA Registration Number: FDA-9654933
- CE Marking: Pending

COMPLIANCE STATUS:
- GMP Compliance: Compliant
- REACH Compliance: N/A
- RoHS Compliance: Exempt
- Conflict Minerals: Compliant

RECENT INSPECTIONS:
Last FDA Inspection: 2023-07-04
Inspection Result: OAI
Form 483 Observations: 3

WARNING LETTERS:
No warning letters on file

This certificate confirms that Dynamic Alloys Engineering maintains compliance with 
applicable regulatory requirements for the supply of reagents.","Regulatory compliance status for Dynamic Alloys Engineering including FDA, ISO, and GMP certifications.",2023-10-11,2025-01-30,ACTIVE,/documents/compliance/53/111.pdf,485504,SYSTEM,2023-10-11 00:00:00,SYSTEM,2023-10-11 00:00:00
